journal_name,issn_l,print_issn,online_issn,wos_category,coverage_start,verified_at
Criminology,0011-1384,0011-1384,1745-9125,Criminology & Penology,,
British Journal of Criminology,0007-0955,0007-0955,,Criminology & Penology,,
Journal of Criminal Law and Criminology,0091-4169,0091-4169,,Law; Criminology & Penology,,
Journal of Criminal Justice,0047-2352,0047-2352,,Criminology & Penology,,
Punishment & Society,1462-4745,1462-4745,1741-3095,Criminology & Penology; Law,,
Theoretical Criminology,1362-4806,1362-4806,,Criminology & Penology,,
European Journal of Criminology,1477-3708,1477-3708,,Criminology & Penology,,
Journal of Quantitative Criminology,0748-4518,0748-4518,1573-7799,Criminology & Penology,,
Journal of Research in Crime and Delinquency,0022-4278,0022-4278,,Criminology & Penology,,
Criminal Justice and Behavior,0093-8548,0093-8548,,Criminology & Penology; Psychology,,
Journal of Experimental Criminology,1573-3750,1573-3750,1573-3769,Criminology & Penology,,
International Journal of Offender Therapy and Comparative Criminology,0306-624X,0306-624X,,Criminology & Penology; Psychology,,
Journal of Contemporary Criminal Justice,1043-9862,1043-9862,,Criminology & Penology,,
Criminology & Public Policy,1538-6473,1538-6473,1745-9133,Criminology & Penology; Law,,
Criminology & Criminal Justice,1748-8958,1748-8958,1748-8966,Criminology & Penology,,
Youth Violence and Juvenile Justice,1541-2040,1541-2040,,Criminology & Penology,,
Sexual Abuse,1079-0632,1079-0632,1573-2851,Criminology & Penology; Psychology,,
Aggression and Violent Behavior,1359-1789,1359-1789,1873-6137,Criminology & Penology; Psychology,,
Trauma Violence & Abuse,1524-8380,1524-8380,1552-8321,Criminology & Penology; Psychology,,
Journal of Interpersonal Violence,0886-2605,0886-2605,,Criminology & Penology; Psychology,,
Psychology Public Policy and Law,1076-8971,1076-8971,1935-970X,Law; Psychology,,
Law and Human Behavior,0147-7307,0147-7307,1573-661X,Law; Psychology,,
International Journal of Law Crime and Justice,1756-0616,1756-0616,,Law; Criminology & Penology,,
Crime Law and Social Change,0925-4994,0925-4994,1573-0751,Law; Criminology & Penology,,
Journal of International Criminal Justice,1478-1387,1478-1387,,Law,,
Psychology Crime & Law,1068-316X,1068-316X,1477-2744,Psychology; Law,,
Journal of Law and Society,0263-323X,0263-323X,1467-6478,Law,,
Law & Social Inquiry,0897-6546,0897-6546,1747-4469,Law,,
Journal of Empirical Legal Studies,1740-1453,1740-1453,1740-1461,Law,,
Legal Studies,0261-3875,0261-3875,1748-121X,Law,,
Criminal Law and Philosophy,1871-9791,1871-9791,1871-9805,Law,,
Journal of Scandinavian Studies in Criminology and Crime Prevention,1404-3858,1404-3858,,Criminology & Penology,,
